date,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter,week_of_year,month,sin_week,cos_week,tv_S_transformed,facebook_S_transformed,search_S_transformed,ooh_S_transformed,tv_S_lag1,tv_S_lag2,facebook_S_lag1,facebook_S_lag2,search_S_lag1,search_S_lag2,tv_rolling4,fb_rolling4,tv_sov
2015-12-14,2875220.0,83450.3066666667,0.0,17680.0,10549765.6762647,12268.0703194346,4253.33333333333,8122883,2800.49067685105,na,2800.0,51,12,-0.12053668025532363,0.992708874098054,0.6093761681697129,0.5592467734746006,0.42845663051851196,0.7145391020598418,0.0,28613.4533333333,4256.37537782657,1141.95245035415,3786.66666666667,4133.33333333333,33605.52666666667,3951.487854959092,0.9220607506261643
2015-12-21,2215953.33333333,0.0,277336.0,0.0,2934089.82625045,9467.2480229987,3613.33333333333,7105985,689.582605192027,na,15478.0,52,12,6.432490598706546e-16,1.0,0.5639070518594778,0.5346764201742352,0.4345360809634995,0.8103019583617067,83450.3066666667,0.0,2800.49067685105,4256.37537782657,4253.33333333333,3786.66666666667,28015.94,2222.1002775559496,0.0
2015-12-28,2569921.66666667,33225.3066666667,0.0,31922.3111111111,16634027.0357604,12687.2586368544,3773.33333333333,7097237,5337.0051734019,na,13817.0,53,12,0.12053668025532314,0.992708874098054,0.5883241007166189,0.5807302968079712,0.44037816484073794,0.7948267779674834,0.0,83450.3066666667,689.582605192027,2800.49067685105,3613.33333333333,4253.33333333333,29168.90333333335,3270.8634583178864,0.7848069051641681
2016-01-04,2171506.66666667,687.053333333333,226753.6,0.0,13715898.6058832,12096.504594859,3706.66666666667,6974368,3623.01223287033,na,28817.0,1,1,0.12053668025532305,0.992708874098054,0.5438237390974057,0.590555279582437,0.4428010050355326,0.8254746003276715,33225.3066666667,0.0,5337.0051734019,689.582605192027,3773.33333333333,3613.33333333333,29340.666666666682,3112.5226720788264,0.0029264912938481383
2016-01-11,2464131.66666667,2952.22666666667,0.0,23581.2888888889,18851563.533732,11588.3696648409,4266.66666666667,7452174,4129.8161531585,na,19082.0,2,1,0.23931566428755774,0.970941817426052,0.5057520180323359,0.6026205501836522,0.45189729884206875,0.8109483929011851,687.053333333333,33225.3066666667,3623.01223287033,5337.0051734019,3706.66666666667,3773.33333333333,9216.146666666677,3444.8540411556887,0.26013765443378306
2016-01-18,2012520.0,0.0,0.0,0.0,11910187.8796785,9341.1605005463,3053.33333333333,6703566,3623.01223287033,na,19679.0,3,1,0.3546048870425356,0.9350162426854148,0.458930833772108,0.6065475426450307,0.4405218120577986,0.7955126391926957,2952.22666666667,687.053333333333,4129.8161531585,3623.01223287033,4266.66666666667,3706.66666666667,9216.146666666677,4178.211448075264,0.0
2016-01-25,1738911.66666667,0.0,0.0,11243.9111111111,10620420.1845297,7023.24641526987,3053.33333333333,5535394,3002.69058507969,na,15095.0,4,1,0.4647231720437685,0.8854560256532099,0.412823744458392,0.6037175258506924,0.4332501123802393,0.7791597917464212,0.0,2952.22666666667,3623.01223287033,4129.8161531585,3053.33333333333,4266.66666666667,909.8200000000007,3594.6328009947124,0.0
2016-02-01,1772306.66666667,16511.8266666667,42477.3333333333,0.0,0.0,9341.32576660873,2746.66666666667,5480098,0.0,na,9795.0,5,2,0.5680647467311558,0.8229838658936564,0.44927794852928943,0.568226366198736,0.4237857944572406,0.7777172075324843,0.0,0.0,3002.69058507969,3623.01223287033,3053.33333333333,3053.33333333333,4866.013333333342,2688.87974277713,0.26745939202887103
2016-02-08,1809058.33333333,0.0,0.0,4763.55555555556,11416552.5179333,7107.7773245362,2693.33333333333,5872523,3564.38219778663,na,10876.0,6,2,0.6631226582407952,0.7485107481711011,0.4034175801758456,0.5810828979147307,0.41689498172434386,0.7603699364931449,16511.8266666667,0.0,0.0,3002.69058507969,2746.66666666667,3053.33333333333,4127.956666666675,2547.521253934163,0.0
2016-02-15,1952740.0,66276.44,0.0,2448.4,5063253.0082151,0.0,0.0,5822926,1448.59774023091,na,19401.6538461538,7,2,0.7485107481711011,0.6631226582407953,0.5780954381119761,0.5653517602127673,0.3538627204880972,0.7421177661151985,0.0,16511.8266666667,3564.38219778663,0.0,2693.33333333333,2746.66666666667,20697.066666666677,2003.9176307743076,0.97861060268747
2016-02-22,1507805.0,0.0,0.0,0.0,0.0,0.0,0.0,5027123,0.0,na,19401.6538461538,8,2,0.8229838658936564,0.5680647467311559,0.5317828746083535,0.5291046454879375,0.2955305117782611,0.72298185246972,66276.44,0.0,1448.59774023091,3564.38219778663,0.0,2693.33333333333,20697.066666666677,1253.244984504385,0.0
